-115.2398,39.8110,1.0000,0.3000,0.0024
-115.2575,39.9094,1.0000,0.3110,0.0023
-115.2709,40.0085,1.0000,0.3219,0.0022
-115.2809,40.1080,1.0000,0.3329,0.0021
-115.2888,40.2077,1.0000,0.3439,0.0021
-115.2953,40.3075,1.0000,0.3548,0.0020
-115.3010,40.4073,1.0000,0.3658,0.0019
-115.3062,40.5072,1.0000,0.3767,0.0019
-115.3109,40.6071,1.0000,0.3877,0.0018
-115.3155,40.7070,1.0000,0.3987,0.0018
-115.3203,40.8069,1.0000,0.4096,0.0017
-115.3253,40.9067,1.0000,0.4206,0.0017
-115.3305,41.0066,1.0000,0.4316,0.0017
-115.3357,41.1065,1.0000,0.4425,0.0016
-115.3409,41.2063,1.0000,0.4535,0.0016
-115.3461,41.3062,1.0000,0.4644,0.0016
-115.3513,41.4061,1.0000,0.4754,0.0016
-115.3565,41.5059,1.0000,0.4864,0.0016
-115.3617,41.6058,1.0000,0.4973,0.0017
-115.3669,41.7056,1.0000,0.5083,0.0019
-115.3721,41.8055,1.0000,0.5193,0.0020
-115.3773,41.9054,1.0000,0.5302,0.0022
-115.3825,42.0052,1.0000,0.5412,0.0025
-115.3877,42.1051,1.0000,0.5521,0.0027
-115.3929,42.2050,1.0000,0.5631,0.0030
-115.3981,42.3048,1.0000,0.5741,0.0033
-115.4033,42.4047,1.0000,0.5850,0.0037
-115.4085,42.5046,1.0000,0.5960,0.0040
-115.4137,42.6044,1.0000,0.6070,0.0045
-115.4189,42.7043,1.0000,0.6179,0.0049
-115.4241,42.8042,1.0000,0.6289,0.0054
-115.4293,42.9040,1.0000,0.6399,0.0059
-115.4345,43.0039,1.0000,0.6508,0.0065
-115.4397,43.1038,1.0000,0.6618,0.0071
-115.4449,43.2036,1.0000,0.6727,0.0078
-115.4501,43.3035,1.0000,0.6837,0.0085
-115.4553,43.4033,1.0000,0.6947,0.0087
-115.4605,43.5032,1.0000,0.7056,0.0091
-115.4657,43.6031,1.0000,0.7166,0.0097
-115.4709,43.7029,1.0000,0.7276,0.0103
-115.4761,43.8028,1.0000,0.7385,0.0109
-115.4813,43.9027,1.0000,0.7495,0.0114
-115.4865,44.0025,1.0000,0.7604,0.0118
-115.4917,44.1024,1.0000,0.7714,0.0121
-115.4971,44.2023,1.0000,0.7824,0.0123
-115.5024,44.3021,1.0000,0.7933,0.0124
-115.5077,44.4020,1.0000,0.8043,0.0125
-115.5129,44.5018,1.0000,0.8153,0.0125
-115.5178,44.6017,1.0000,0.8262,0.0126
-115.5225,44.7016,1.0000,0.8372,0.0127
-115.5269,44.8015,1.0000,0.8481,0.0128
-115.5310,44.9014,1.0000,0.8591,0.0129
-115.5348,45.0014,1.0000,0.8701,0.0129
-115.5383,45.1013,1.0000,0.8810,0.0132
-115.5416,45.2012,1.0000,0.8920,0.0137
-115.5449,45.3012,1.0000,0.9030,0.0146
-115.5482,45.4011,1.0000,0.9139,0.0160
-115.5516,45.5011,1.0000,0.9249,0.0179
-115.5548,45.6010,1.0000,0.9359,0.0205
-115.5577,45.7010,1.0000,0.9468,0.0236
-115.5602,45.8009,1.0000,0.9578,0.0274
-115.5621,45.9009,1.0000,0.9687,0.0318
-115.5633,46.0009,1.0000,0.9797,0.0367
-115.5639,46.1009,1.0000,0.9907,0.0422
-115.5638,46.2009,1.0000,1.0016,0.0480
-115.5632,46.3009,1.0000,1.0126,0.0542
-115.5622,46.4009,1.0000,1.0236,0.0605
-115.5608,46.5009,1.0000,1.0345,0.0669
-115.5594,46.6009,1.0000,1.0455,0.0735
-115.5580,46.7009,1.0000,1.0564,0.0800
-115.5568,46.8009,1.0000,1.0674,0.0865
-115.5556,46.9009,1.0000,1.0784,0.0929
-115.5544,47.0009,1.0000,1.0893,0.0992
-115.5533,47.1009,1.0000,1.1003,0.1052
-115.5521,47.2008,1.0000,1.1113,0.1111
-115.5509,47.3008,1.0000,1.1222,0.1166
-115.5498,47.4008,1.0000,1.1332,0.1219
-115.5480,47.5008,1.0000,1.1441,0.1267
-115.5466,47.6008,1.0000,1.1551,0.1311
-115.5461,47.7008,1.0000,1.1661,0.1349
-115.5461,47.8008,1.0000,1.1770,0.1381
-115.5467,47.9008,1.0000,1.1880,0.1407
-115.5473,48.0008,1.0000,1.1990,0.1428
-115.5474,48.1008,1.0000,1.2099,0.1442
-115.5466,48.2008,1.0000,1.2209,0.1451
-115.5442,48.3008,1.0000,1.2319,0.1455
-115.5396,48.4007,1.0000,1.2428,0.1455
-115.5323,48.5004,1.0000,1.2538,0.1453
-115.5218,48.5998,1.0000,1.2647,0.1448
-115.5074,48.6988,1.0000,1.2757,0.1442
-115.4890,48.7971,1.0000,1.2867,0.1436
-115.4667,48.8946,1.0000,1.2976,0.1430
-115.4416,48.9914,1.0000,1.3086,0.1425
-115.4133,49.0873,1.0000,1.3196,0.1421
-115.3818,49.1822,1.0000,1.3305,0.1418
-115.3472,49.2760,1.0000,1.3415,0.1416
-115.3095,49.3686,1.0000,1.3524,0.1415
-115.2687,49.4599,1.0000,1.3634,0.1414
-115.2249,49.5498,1.0000,1.3744,0.1414
-115.1781,49.6382,1.0000,1.3853,0.1413
-115.1283,49.7249,1.0000,1.3963,0.1412
-115.0753,49.8097,1.0000,1.4073,0.1411
-115.0195,49.8927,1.0000,1.4182,0.1410
-114.9609,49.9737,1.0000,1.4292,0.1410
-114.9000,50.0530,1.0000,1.4401,0.1407
-114.8371,50.1308,1.0000,1.4511,0.1402
-114.7726,50.2072,1.0000,1.4621,0.1393
-114.7070,50.2826,1.0000,1.4730,0.1379
-114.6406,50.3575,1.0000,1.4840,0.1359
-114.5738,50.4319,1.0000,1.4950,0.1334
-114.5069,50.5062,1.0000,1.5059,0.1302
-114.4400,50.5805,1.0000,1.5169,0.1265
-114.3733,50.6551,1.0000,1.5279,0.1221
-114.3068,50.7298,1.0000,1.5388,0.1171
-114.2404,50.8045,1.0000,1.5498,0.1117
-114.1739,50.8792,1.0000,1.5607,0.1058
-114.1074,50.9539,1.0000,1.5717,0.0997
-114.0410,51.0286,1.0000,1.5827,0.0934
-113.9745,51.1033,1.0000,1.5936,0.0869
-113.9080,51.1780,1.0000,1.6046,0.0802
-113.8416,51.2527,1.0000,1.6156,0.0736
-113.7751,51.3274,1.0000,1.6265,0.0670
-113.7086,51.4021,1.0000,1.6350,0.0604
-113.6421,51.4768,1.0000,1.6381,0.0539
-113.5756,51.5515,1.0000,1.6394,0.0475
